sub,sov,cond,trial_amount
33,N2,T650_2,121
34,N2,T650_2,67
35,N2,T650_2,68
36,N2,T650_2,57
37,N2,T650_2,56
38,N2,T650_2,86
02,N2,T845_2,44
03,N2,T845_2,70
04,N2,T845_2,63
08,N2,T845_2,71
09,N2,T845_2,82
10,N2,T845_2,82
11,N2,T845_2,50
13,N2,T845_2,90
14,N2,T845_2,29
15,N2,T845_2,97
16,N2,T845_2,91
17,N2,T845_2,50
19,N2,T845_2,104
20,N2,T845_2,87
21,N2,T845_2,94
23,N2,T845_2,64
24,N2,T845_2,111
25,N2,T845_2,90
26,N2,T845_2,31
27,N2,T845_2,39
28,N2,T845_2,95
29,N2,T845_2,75
30,N2,T845_2,118
31,N2,T845_2,86
32,N2,T845_2,66
33,N2,T845_2,115
34,N2,T845_2,60
35,N2,T845_2,66
36,N2,T845_2,53
37,N2,T845_2,57
38,N2,T845_2,87
02,N2,T1098_2,47
03,N2,T1098_2,72
04,N2,T1098_2,55
08,N2,T1098_2,65
09,N2,T1098_2,83
10,N2,T1098_2,75
11,N2,T1098_2,57
13,N2,T1098_2,89
14,N2,T1098_2,25
15,N2,T1098_2,96
16,N2,T1098_2,90
17,N2,T1098_2,55
19,N2,T1098_2,103
20,N2,T1098_2,78
21,N2,T1098_2,92
23,N2,T1098_2,62
24,N2,T1098_2,109
25,N2,T1098_2,88
26,N2,T1098_2,34
27,N2,T1098_2,34
28,N2,T1098_2,100
29,N2,T1098_2,76
30,N2,T1098_2,122
31,N2,T1098_2,89
32,N2,T1098_2,65
33,N2,T1098_2,110
34,N2,T1098_2,63
35,N2,T1098_2,66
36,N2,T1098_2,57
37,N2,T1098_2,61
38,N2,T1098_2,91
02,N2,T1428_2,48
03,N2,T1428_2,80
04,N2,T1428_2,59
08,N2,T1428_2,67
09,N2,T1428_2,85
10,N2,T1428_2,79
11,N2,T1428_2,53
13,N2,T1428_2,88
14,N2,T1428_2,28
15,N2,T1428_2,95
16,N2,T1428_2,85
17,N2,T1428_2,49
19,N2,T1428_2,96
20,N2,T1428_2,87
21,N2,T1428_2,91
23,N2,T1428_2,67
24,N2,T1428_2,114
25,N2,T1428_2,90
26,N2,T1428_2,34
27,N2,T1428_2,38
28,N2,T1428_2,92
29,N2,T1428_2,75
30,N2,T1428_2,120
31,N2,T1428_2,90
32,N2,T1428_2,64
33,N2,T1428_2,109
34,N2,T1428_2,50
35,N2,T1428_2,67
36,N2,T1428_2,60
37,N2,T1428_2,59
38,N2,T1428_2,97
02,N2,T1856_2,47
03,N2,T1856_2,67
04,N2,T1856_2,54
08,N2,T1856_2,69
09,N2,T1856_2,83
10,N2,T1856_2,80
11,N2,T1856_2,56
13,N2,T1856_2,87
14,N2,T1856_2,29
15,N2,T1856_2,89
16,N2,T1856_2,92
17,N2,T1856_2,59
19,N2,T1856_2,101
20,N2,T1856_2,84
21,N2,T1856_2,86
23,N2,T1856_2,63
24,N2,T1856_2,112
25,N2,T1856_2,89
26,N2,T1856_2,32
27,N2,T1856_2,35
28,N2,T1856_2,92
29,N2,T1856_2,76
30,N2,T1856_2,114
31,N2,T1856_2,89
32,N2,T1856_2,62
33,N2,T1856_2,111
34,N2,T1856_2,61
35,N2,T1856_2,65
36,N2,T1856_2,53
37,N2,T1856_2,61
38,N2,T1856_2,93
02,N2,T2413_2,43
03,N2,T2413_2,73
04,N2,T2413_2,57
08,N2,T2413_2,68
09,N2,T2413_2,82
10,N2,T2413_2,78
11,N2,T2413_2,53
13,N2,T2413_2,86
14,N2,T2413_2,27
15,N2,T2413_2,92
16,N2,T2413_2,82
17,N2,T2413_2,50
19,N2,T2413_2,92
20,N2,T2413_2,81
21,N2,T2413_2,98
23,N2,T2413_2,59
24,N2,T2413_2,112
25,N2,T2413_2,88
26,N2,T2413_2,27
27,N2,T2413_2,39
28,N2,T2413_2,96
29,N2,T2413_2,76
30,N2,T2413_2,123
31,N2,T2413_2,87
32,N2,T2413_2,70
33,N2,T2413_2,119
34,N2,T2413_2,55
35,N2,T2413_2,64
36,N2,T2413_2,59
37,N2,T2413_2,60
38,N2,T2413_2,79
02,N2,T3137_2,47
03,N2,T3137_2,77
04,N2,T3137_2,60
08,N2,T3137_2,68
09,N2,T3137_2,81
10,N2,T3137_2,76
11,N2,T3137_2,55
13,N2,T3137_2,82
14,N2,T3137_2,30
15,N2,T3137_2,95
16,N2,T3137_2,89
17,N2,T3137_2,48
19,N2,T3137_2,88
20,N2,T3137_2,80
21,N2,T3137_2,85
23,N2,T3137_2,59
24,N2,T3137_2,110
25,N2,T3137_2,90
26,N2,T3137_2,30
27,N2,T3137_2,36
28,N2,T3137_2,92
29,N2,T3137_2,76
30,N2,T3137_2,119
31,N2,T3137_2,87
32,N2,T3137_2,61
33,N2,T3137_2,114
34,N2,T3137_2,57
35,N2,T3137_2,66
36,N2,T3137_2,49
37,N2,T3137_2,55
38,N2,T3137_2,81
02,N2,T4079_2,48
03,N2,T4079_2,72
04,N2,T4079_2,58
08,N2,T4079_2,69
09,N2,T4079_2,80
10,N2,T4079_2,88
11,N2,T4079_2,52
13,N2,T4079_2,92
14,N2,T4079_2,30
15,N2,T4079_2,97
16,N2,T4079_2,89
17,N2,T4079_2,52
19,N2,T4079_2,100
20,N2,T4079_2,84
21,N2,T4079_2,91
23,N2,T4079_2,59
24,N2,T4079_2,107
25,N2,T4079_2,88
26,N2,T4079_2,27
27,N2,T4079_2,35
28,N2,T4079_2,100
29,N2,T4079_2,83
30,N2,T4079_2,119
31,N2,T4079_2,89
32,N2,T4079_2,60
33,N2,T4079_2,114
34,N2,T4079_2,60
35,N2,T4079_2,60
36,N2,T4079_2,40
37,N2,T4079_2,61
38,N2,T4079_2,80
02,N2,T5302_2,41
03,N2,T5302_2,75
04,N2,T5302_2,62
08,N2,T5302_2,68
09,N2,T5302_2,85
10,N2,T5302_2,79
11,N2,T5302_2,52
13,N2,T5302_2,88
14,N2,T5302_2,24
15,N2,T5302_2,94
16,N2,T5302_2,89
17,N2,T5302_2,50
19,N2,T5302_2,100
20,N2,T5302_2,80
21,N2,T5302_2,98
23,N2,T5302_2,62
24,N2,T5302_2,105
25,N2,T5302_2,94
26,N2,T5302_2,33
27,N2,T5302_2,33
28,N2,T5302_2,96
29,N2,T5302_2,70
30,N2,T5302_2,125
31,N2,T5302_2,94
32,N2,T5302_2,68
33,N2,T5302_2,123
